,Country,EdLevel,YearsCodePro,Salary,Age
224,Belgium,Master’s degree,9.0,75669.0,35-44 years old
226,UK,Bachelor’s degree,7.0,103408.0,25-34 years old
227,France,Master’s degree,5.0,44320.0,25-34 years old
234,USA,Bachelor’s degree,22.0,165000.0,35-44 years old
237,Germany,Less than a Bachelors,5.0,51888.0,18-24 years old
238,Iran,Bachelor’s degree,7.0,85500.0,25-34 years old
244,France,Master’s degree,9.0,64859.0,25-34 years old
245,Germany,Less than a Bachelors,3.0,42158.0,18-24 years old
246,Germany,Bachelor’s degree,7.0,32424.0,25-34 years old
249,USA,Bachelor’s degree,2.0,60000.0,18-24 years old
252,France,Post grad,12.0,35028.0,35-44 years old
258,Germany,Post grad,8.0,74588.0,35-44 years old
261,UK,Bachelor’s degree,3.0,50153.0,18-24 years old
262,India,Master’s degree,11.0,30716.0,25-34 years old
263,France,Master’s degree,7.0,77831.0,25-34 years old
264,Denmark,Bachelor’s degree,3.0,81624.0,25-34 years old
268,Germany,Master’s degree,2.0,54049.0,18-24 years old
271,France,Master’s degree,7.0,41077.0,25-34 years old
273,Finland,Bachelor’s degree,3.0,45396.0,25-34 years old
275,UK,Less than a Bachelors,2.0,19389.0,18-24 years old
276,France,Master’s degree,15.0,77831.0,35-44 years old
278,USA,Bachelor’s degree,13.0,160000.0,35-44 years old
285,USA,Bachelor’s degree,9.0,107972.0,25-34 years old
289,Argentina,Less than a Bachelors,0.5,75000.0,35-44 years old
290,UK,Less than a Bachelors,6.0,48472.0,25-34 years old
292,USA,Bachelor’s degree,16.0,120000.0,35-44 years old
300,Spain,Post grad,5.0,32429.0,25-34 years old
301,Spain,Master’s degree,10.0,12972.0,25-34 years old
305,Spain,Bachelor’s degree,4.0,28105.0,25-34 years old
309,Finland,Less than a Bachelors,20.0,77832.0,45-54 years old
312,UK,Post grad,4.0,51704.0,25-34 years old
318,Germany,Bachelor’s degree,15.0,70264.0,35-44 years old
323,USA,Master’s degree,13.0,115000.0,25-34 years old
324,USA,Bachelor’s degree,12.0,144000.0,25-34 years old
327,Germany,Master’s degree,21.0,70264.0,35-44 years old
332,Canada,Less than a Bachelors,34.0,181515.0,55-64 years old
333,Sweden,Bachelor’s degree,26.0,81000.0,45-54 years old
334,USA,Less than a Bachelors,22.0,105000.0,35-44 years old
335,Germany,Master’s degree,5.0,56211.0,35-44 years old
336,UK,Master’s degree,7.0,64630.0,25-34 years old
337,Turkey,Bachelor’s degree,3.0,35508.0,18-24 years old
338,Germany,Less than a Bachelors,11.0,64859.0,25-34 years old
345,USA,Master’s degree,10.0,110000.0,25-34 years old
347,USA,Bachelor’s degree,15.0,120000.0,35-44 years old
351,Germany,Less than a Bachelors,6.0,48644.0,18-24 years old
354,Poland,Master’s degree,11.0,54672.0,25-34 years old
356,Netherlands,Less than a Bachelors,4.0,35676.0,18-24 years old
359,Canada,Bachelor’s degree,4.0,75631.0,25-34 years old
363,USA,Less than a Bachelors,39.0,70000.0,65 years or older
364,Germany,Master’s degree,9.0,58373.0,25-34 years old
366,Greece,Bachelor’s degree,3.0,25944.0,25-34 years old
368,USA,Less than a Bachelors,4.0,58000.0,25-34 years old
369,Germany,Bachelor’s degree,6.0,61616.0,25-34 years old
371,France,Post grad,13.0,59454.0,35-44 years old
373,Sweden,Post grad,3.0,55224.0,25-34 years old
374,Canada,Master’s degree,6.0,68068.0,25-34 years old
377,USA,Bachelor’s degree,4.0,74000.0,18-24 years old
379,Netherlands,Post grad,14.0,118908.0,35-44 years old
380,USA,Less than a Bachelors,1.0,40000.0,25-34 years old
382,Canada,Bachelor’s degree,8.0,71850.0,25-34 years old
383,Canada,Bachelor’s degree,14.0,66934.0,35-44 years old
385,Finland,Master’s degree,3.0,54216.0,25-34 years old
393,USA,Less than a Bachelors,7.0,63385.0,25-34 years old
396,Switzerland,Less than a Bachelors,1.0,54888.0,18-24 years old
398,USA,Master’s degree,20.0,108000.0,55-64 years old
399,Germany,Less than a Bachelors,7.0,58373.0,25-34 years old
402,Ruassia,Master’s degree,20.0,56616.0,35-44 years old
403,Greece,Post grad,9.0,45401.0,25-34 years old
406,UK,Master’s degree,24.0,55582.0,45-54 years old
409,UK,Bachelor’s degree,27.0,71093.0,45-54 years old
413,UK,Less than a Bachelors,21.0,60752.0,35-44 years old
414,Greece,Less than a Bachelors,4.0,25944.0,25-34 years old
421,Poland,Less than a Bachelors,20.0,30372.0,35-44 years old
424,Belgium,Master’s degree,6.0,29832.0,25-34 years old
432,USA,Post grad,6.0,90000.0,35-44 years old
433,USA,Bachelor’s degree,3.0,67000.0,18-24 years old
434,India,Bachelor’s degree,4.0,21676.0,25-34 years old
435,Switzerland,Master’s degree,16.0,101649.0,35-44 years old
437,USA,Less than a Bachelors,16.0,195000.0,35-44 years old
438,Portugal,Master’s degree,7.0,34380.0,25-34 years old
439,UK,Post grad,23.0,155111.0,45-54 years old
440,Austria,Master’s degree,4.0,64860.0,25-34 years old
441,France,Bachelor’s degree,12.0,123228.0,35-44 years old
450,Ruassia,Less than a Bachelors,1.0,28308.0,25-34 years old
458,France,Master’s degree,3.0,48644.0,25-34 years old
459,Sweden,Bachelor’s degree,5.0,54769.0,25-34 years old
460,Poland,Bachelor’s degree,5.0,45564.0,25-34 years old
463,USA,Master’s degree,12.0,29000.0,25-34 years old
464,USA,Less than a Bachelors,6.0,170000.0,25-34 years old
465,Turkey,Bachelor’s degree,3.0,19728.0,25-34 years old
467,Portugal,Bachelor’s degree,4.0,24132.0,25-34 years old
468,Ukraine,Less than a Bachelors,6.0,54804.0,25-34 years old
469,USA,Bachelor’s degree,4.0,70000.0,25-34 years old
470,South Africa,Bachelor’s degree,8.0,42432.0,25-34 years old
473,USA,Less than a Bachelors,2.0,40000.0,25-34 years old
474,Netherlands,Bachelor’s degree,4.0,40212.0,18-24 years old
475,Canada,Less than a Bachelors,7.0,90758.0,25-34 years old
476,Pakistan,Bachelor’s degree,4.0,15408.0,25-34 years old
477,UK,Master’s degree,6.0,54224.0,25-34 years old
478,Switzerland,Master’s degree,7.0,81319.0,25-34 years old
481,USA,Bachelor’s degree,4.0,85000.0,35-44 years old
482,Germany,Bachelor’s degree,1.0,64859.0,18-24 years old
485,Netherlands,Master’s degree,30.0,62268.0,55-64 years old
487,Canada,Less than a Bachelors,5.0,31750.0,18-24 years old
489,USA,Master’s degree,2.0,100000.0,25-34 years old
491,USA,Bachelor’s degree,3.0,92000.0,18-24 years old
492,Spain,Bachelor’s degree,4.0,34591.0,25-34 years old
493,Switzerland,Less than a Bachelors,10.0,92500.0,35-44 years old
494,USA,Master’s degree,12.0,135000.0,25-34 years old
495,UK,Bachelor’s degree,5.0,71093.0,25-34 years old
498,Iran,Bachelor’s degree,5.0,42756.0,18-24 years old
499,USA,Bachelor’s degree,4.0,150000.0,25-34 years old
500,USA,Bachelor’s degree,19.0,65000.0,35-44 years old
503,Spain,Post grad,20.0,64859.0,35-44 years old
509,India,Less than a Bachelors,10.0,16416.0,25-34 years old
512,Italy,Bachelor’s degree,3.0,35672.0,25-34 years old
514,Belgium,Master’s degree,7.0,64860.0,25-34 years old
516,Germany,Bachelor’s degree,3.0,59454.0,25-34 years old
518,France,Master’s degree,9.0,45396.0,25-34 years old
524,Ukraine,Bachelor’s degree,11.0,60000.0,25-34 years old
526,USA,Post grad,35.0,110000.0,45-54 years old
528,Ukraine,Bachelor’s degree,9.0,53832.0,25-34 years old
532,Turkey,Master’s degree,2.0,18080.0,25-34 years old
533,Germany,Bachelor’s degree,3.0,31128.0,25-34 years old
534,Brazil,Bachelor’s degree,12.0,96204.0,25-34 years old
536,France,Master’s degree,6.0,88640.0,25-34 years old
538,Spain,Less than a Bachelors,2.0,20539.0,18-24 years old
539,USA,Master’s degree,21.0,190000.0,55-64 years old
540,UK,Post grad,10.0,49765.0,35-44 years old
541,France,Master’s degree,10.0,48644.0,25-34 years old
544,USA,Bachelor’s degree,8.0,57765.0,25-34 years old
545,USA,Bachelor’s degree,3.0,40000.0,25-34 years old
546,USA,Less than a Bachelors,2.0,37440.0,Under 18 years old
547,Canada,Bachelor’s degree,9.0,83194.0,25-34 years old
556,Switzerland,Bachelor’s degree,13.0,111814.0,35-44 years old
560,USA,Master’s degree,4.0,133000.0,25-34 years old
562,Germany,Less than a Bachelors,13.0,69183.0,35-44 years old
564,Norway,Bachelor’s degree,6.0,64737.0,25-34 years old
565,Italy,Less than a Bachelors,8.0,47563.0,25-34 years old
566,Netherlands,Bachelor’s degree,12.0,118908.0,35-44 years old
569,France,Master’s degree,6.0,69183.0,25-34 years old
571,India,Bachelor’s degree,8.0,29320.0,25-34 years old
576,Austria,Bachelor’s degree,8.0,70264.0,35-44 years old
579,USA,Master’s degree,5.0,150000.0,18-24 years old
581,France,Master’s degree,7.0,64859.0,35-44 years old
582,Italy,Master’s degree,17.0,59454.0,35-44 years old
585,France,Master’s degree,5.0,36753.0,25-34 years old
587,USA,Bachelor’s degree,19.0,125000.0,45-54 years old
588,UK,Bachelor’s degree,10.0,63854.0,25-34 years old
591,India,Less than a Bachelors,10.0,123984.0,35-44 years old
594,Greece,Less than a Bachelors,10.0,25944.0,25-34 years old
596,Netherlands,Master’s degree,4.0,46482.0,25-34 years old
607,Italy,Master’s degree,3.0,35672.0,25-34 years old
611,Romania,Bachelor’s degree,5.0,27144.0,18-24 years old
615,Germany,Bachelor’s degree,7.0,86478.0,25-34 years old
618,India,Bachelor’s degree,7.0,134028.0,25-34 years old
619,USA,Bachelor’s degree,25.0,98000.0,45-54 years old
621,Germany,Less than a Bachelors,18.0,54049.0,35-44 years old
624,USA,Bachelor’s degree,3.0,73500.0,35-44 years old
625,Netherlands,Master’s degree,7.0,56211.0,35-44 years old
629,Poland,Master’s degree,6.0,60744.0,25-34 years old
632,France,Bachelor’s degree,25.0,183767.0,35-44 years old
634,India,Bachelor’s degree,2.0,25128.0,18-24 years old
638,Germany,Less than a Bachelors,4.0,36324.0,25-34 years old
639,USA,Bachelor’s degree,1.0,82000.0,25-34 years old
642,USA,Post grad,10.0,105000.0,25-34 years old
646,Finland,Less than a Bachelors,15.0,59454.0,25-34 years old
650,UK,Less than a Bachelors,2.0,28437.0,18-24 years old
651,Poland,Less than a Bachelors,3.0,41004.0,18-24 years old
652,Germany,Bachelor’s degree,5.0,101612.0,45-54 years old
654,USA,Bachelor’s degree,9.0,135000.0,25-34 years old
655,India,Bachelor’s degree,7.0,31332.0,25-34 years old
657,Netherlands,Bachelor’s degree,6.0,50806.0,25-34 years old
660,France,Less than a Bachelors,3.0,41077.0,25-34 years old
662,France,Master’s degree,5.0,45401.0,25-34 years old
666,USA,Bachelor’s degree,8.0,200000.0,25-34 years old
668,India,Master’s degree,3.0,40489.0,25-34 years old
669,USA,Master’s degree,10.0,58000.0,25-34 years old
671,Iran,Bachelor’s degree,1.0,12828.0,25-34 years old
672,UK,Master’s degree,3.0,48472.0,25-34 years old
675,UK,Less than a Bachelors,0.5,19389.0,18-24 years old
676,Germany,Bachelor’s degree,7.0,43239.0,25-34 years old
677,Spain,Less than a Bachelors,8.0,16215.0,25-34 years old
680,Germany,Post grad,7.0,51888.0,25-34 years old
681,Spain,Bachelor’s degree,30.0,45396.0,45-54 years old
682,Italy,Post grad,6.0,33095.0,25-34 years old
684,USA,Bachelor’s degree,2.0,70000.0,25-34 years old
686,Netherlands,Master’s degree,9.0,57072.0,35-44 years old
687,USA,Bachelor’s degree,20.0,130000.0,35-44 years old
689,Ukraine,Bachelor’s degree,2.0,22512.0,18-24 years old
691,Brazil,Bachelor’s degree,4.0,22536.0,25-34 years old
693,Belgium,Bachelor’s degree,8.0,32424.0,25-34 years old
694,Germany,Less than a Bachelors,14.0,56208.0,45-54 years old
696,USA,Bachelor’s degree,33.0,175000.0,45-54 years old
698,Austria,Less than a Bachelors,3.0,42156.0,18-24 years old
700,Israel,Bachelor’s degree,8.0,91056.0,35-44 years old
702,Canada,Less than a Bachelors,25.0,68068.0,45-54 years old
703,UK,Master’s degree,4.0,49119.0,25-34 years old
709,USA,Less than a Bachelors,4.0,55702.0,35-44 years old
710,Turkey,Less than a Bachelors,2.0,11832.0,18-24 years old
713,France,Master’s degree,5.0,39131.0,25-34 years old
715,USA,Bachelor’s degree,4.0,72000.0,18-24 years old
716,USA,Less than a Bachelors,20.0,110000.0,35-44 years old
717,Italy,Less than a Bachelors,12.0,45401.0,25-34 years old
718,USA,Bachelor’s degree,13.0,155000.0,25-34 years old
726,Germany,Less than a Bachelors,14.0,75885.0,25-34 years old
728,USA,Master’s degree,7.0,125000.0,25-34 years old
729,USA,Bachelor’s degree,35.0,70000.0,45-54 years old
732,USA,Less than a Bachelors,4.0,105000.0,25-34 years old
733,Sweden,Master’s degree,24.0,68724.0,45-54 years old
734,Brazil,Post grad,4.0,10992.0,25-34 years old
735,Sweden,Bachelor’s degree,3.0,40500.0,25-34 years old
739,Iran,Bachelor’s degree,1.0,12828.0,25-34 years old
741,Germany,Master’s degree,10.0,77832.0,35-44 years old
751,USA,Less than a Bachelors,25.0,156000.0,35-44 years old
752,Israel,Bachelor’s degree,20.0,155844.0,35-44 years old
755,Canada,Bachelor’s degree,5.0,77900.0,25-34 years old
757,Poland,Master’s degree,2.0,27844.0,25-34 years old
758,Switzerland,Bachelor’s degree,15.0,126083.0,35-44 years old
759,UK,Less than a Bachelors,6.0,51704.0,25-34 years old
760,France,Master’s degree,16.0,50806.0,35-44 years old
762,Turkey,Bachelor’s degree,4.0,38400.0,25-34 years old
764,Belgium,Post grad,12.0,103776.0,35-44 years old
774,Germany,Master’s degree,4.0,45401.0,25-34 years old
775,USA,Bachelor’s degree,15.0,120000.0,35-44 years old
776,USA,Bachelor’s degree,8.0,66500.0,25-34 years old
777,South Africa,Bachelor’s degree,5.0,31224.0,35-44 years old
784,Finland,Bachelor’s degree,5.0,49296.0,25-34 years old
785,USA,Bachelor’s degree,7.0,125000.0,25-34 years old
786,France,Master’s degree,6.0,46482.0,25-34 years old
788,India,Bachelor’s degree,10.0,29320.0,25-34 years old
791,UK,Master’s degree,22.0,116333.0,35-44 years old
793,France,Post grad,3.0,54049.0,35-44 years old
794,Germany,Post grad,12.0,54049.0,25-34 years old
796,Italy,Less than a Bachelors,6.0,32429.0,25-34 years old
797,Italy,Master’s degree,5.0,27240.0,25-34 years old
800,UK,Post grad,1.0,71093.0,25-34 years old
803,Iran,Bachelor’s degree,2.0,14256.0,18-24 years old
804,Italy,Master’s degree,3.0,32429.0,25-34 years old
805,USA,Bachelor’s degree,25.0,160000.0,45-54 years old
808,Italy,Less than a Bachelors,6.0,27025.0,25-34 years old
809,Canada,Bachelor’s degree,1.0,49160.0,18-24 years old
810,USA,Bachelor’s degree,3.0,64000.0,25-34 years old
811,Czech Republic,Master’s degree,9.0,57156.0,25-34 years old
813,UK,Bachelor’s degree,8.0,50411.0,35-44 years old
814,Germany,Master’s degree,4.0,54049.0,25-34 years old
817,USA,Post grad,7.0,135000.0,25-34 years old
818,Poland,Bachelor’s degree,14.0,105300.0,25-34 years old
821,France,Master’s degree,4.0,46482.0,25-34 years old
824,Brazil,Bachelor’s degree,4.0,17868.0,18-24 years old
827,Belgium,Less than a Bachelors,2.0,25944.0,25-34 years old
828,UK,Master’s degree,2.0,74970.0,25-34 years old
833,Canada,Bachelor’s degree,3.0,52942.0,25-34 years old
837,Austria,Master’s degree,2.0,40212.0,25-34 years old
839,USA,Bachelor’s degree,3.0,85000.0,25-34 years old
842,Austria,Bachelor’s degree,2.0,45401.0,25-34 years old
845,India,Bachelor’s degree,1.0,20943.0,18-24 years old
846,USA,Bachelor’s degree,15.0,120000.0,25-34 years old
847,Brazil,Less than a Bachelors,15.0,41232.0,35-44 years old
848,USA,Master’s degree,11.0,155000.0,25-34 years old
849,Sweden,Master’s degree,6.0,53388.0,25-34 years old
851,Germany,Bachelor’s degree,2.0,54049.0,18-24 years old
852,Netherlands,Post grad,24.0,57720.0,55-64 years old
856,Germany,Less than a Bachelors,7.0,54480.0,25-34 years old
859,France,Master’s degree,6.0,34584.0,25-34 years old
861,Ruassia,Master’s degree,15.0,36804.0,35-44 years old
863,Germany,Bachelor’s degree,11.0,51887.0,35-44 years old
870,India,Master’s degree,2.0,10728.0,25-34 years old
873,Italy,Less than a Bachelors,21.0,81074.0,35-44 years old
874,USA,Bachelor’s degree,5.0,115000.0,25-34 years old
875,Canada,Bachelor’s degree,5.0,55211.0,25-34 years old
881,Greece,Master’s degree,2.0,19452.0,35-44 years old
886,USA,Bachelor’s degree,10.0,200000.0,35-44 years old
888,USA,Bachelor’s degree,10.0,142000.0,35-44 years old
889,USA,Less than a Bachelors,8.0,125000.0,25-34 years old
890,UK,Master’s degree,3.0,84019.0,25-34 years old
891,Belgium,Bachelor’s degree,15.0,60972.0,35-44 years old
894,Germany,Master’s degree,5.0,31128.0,25-34 years old
897,Germany,Master’s degree,0.5,51888.0,18-24 years old
900,Czech Republic,Bachelor’s degree,19.0,51960.0,35-44 years old
906,India,Bachelor’s degree,5.0,16475.0,25-34 years old
907,Germany,Bachelor’s degree,2.0,41040.0,25-34 years old
909,USA,Master’s degree,12.0,175000.0,35-44 years old
910,Austria,Master’s degree,7.0,49941.0,25-34 years old
911,India,Master’s degree,7.0,18848.0,25-34 years old
912,Germany,Master’s degree,6.0,84312.0,25-34 years old
913,Germany,Master’s degree,7.0,81074.0,25-34 years old
914,Germany,Master’s degree,10.0,68102.0,35-44 years old
918,USA,Bachelor’s degree,12.0,126000.0,35-44 years old
919,Turkey,Less than a Bachelors,10.0,28320.0,25-34 years old
928,Netherlands,Bachelor’s degree,2.0,35676.0,18-24 years old
935,India,Bachelor’s degree,7.0,21641.0,25-34 years old
942,USA,Less than a Bachelors,18.0,175000.0,35-44 years old
945,Israel,Master’s degree,10.0,175112.0,45-54 years old
946,Czech Republic,Less than a Bachelors,15.0,41568.0,25-34 years old
947,USA,Bachelor’s degree,9.0,190000.0,25-34 years old
950,France,Master’s degree,3.0,81074.0,25-34 years old
952,Netherlands,Bachelor’s degree,4.0,38916.0,18-24 years old
955,France,Master’s degree,2.0,45401.0,25-34 years old
956,India,Master’s degree,6.0,12564.0,25-34 years old
958,Ruassia,Master’s degree,8.0,45300.0,25-34 years old
963,USA,Master’s degree,30.0,153000.0,45-54 years old
968,UK,Master’s degree,4.0,51704.0,25-34 years old
970,USA,Less than a Bachelors,4.0,75000.0,25-34 years old
971,India,Bachelor’s degree,2.0,11169.0,18-24 years old
974,India,Bachelor’s degree,4.0,30716.0,25-34 years old
975,Germany,Bachelor’s degree,25.0,81074.0,45-54 years old
980,Finland,Post grad,19.0,71340.0,35-44 years old
984,India,Post grad,10.0,13962.0,25-34 years old
988,Belgium,Master’s degree,35.0,97288.0,55-64 years old
989,France,Master’s degree,4.0,48644.0,25-34 years old
992,Netherlands,Master’s degree,3.0,51888.0,25-34 years old
996,India,Master’s degree,6.0,64224.0,25-34 years old
997,Germany,Bachelor’s degree,12.0,56211.0,25-34 years old
1000,Canada,Master’s degree,15.0,75631.0,35-44 years old
1001,South Africa,Less than a Bachelors,5.0,36024.0,35-44 years old
1003,Italy,Less than a Bachelors,6.0,55130.0,25-34 years old
1005,France,Master’s degree,3.0,37834.0,18-24 years old
1008,Canada,Bachelor’s degree,10.0,68068.0,35-44 years old
1010,USA,Less than a Bachelors,10.0,200000.0,35-44 years old
1012,Netherlands,Bachelor’s degree,7.0,36972.0,18-24 years old
1022,Norway,Less than a Bachelors,20.0,61608.0,45-54 years old
1023,Ruassia,Bachelor’s degree,5.0,41000.0,18-24 years old
1024,Germany,Less than a Bachelors,20.0,79993.0,45-54 years old
1028,USA,Bachelor’s degree,5.0,100000.0,25-34 years old
1029,USA,Bachelor’s degree,5.0,80325.0,25-34 years old
1032,China,Bachelor’s degree,12.0,71446.0,25-34 years old
1034,Spain,Less than a Bachelors,20.0,58373.0,45-54 years old
1035,Mexico,Bachelor’s degree,8.0,47184.0,25-34 years old
1036,Germany,Bachelor’s degree,13.0,18984.0,25-34 years old
1037,Germany,Bachelor’s degree,23.0,64859.0,35-44 years old
1039,USA,Bachelor’s degree,3.0,82750.0,25-34 years old
1042,Netherlands,Less than a Bachelors,1.0,23352.0,18-24 years old
1043,UK,Less than a Bachelors,5.0,71093.0,35-44 years old
1047,Germany,Master’s degree,7.0,88208.0,25-34 years old
1048,UK,Master’s degree,6.0,46533.0,25-34 years old
1049,Netherlands,Bachelor’s degree,11.0,59544.0,25-34 years old
1050,UK,Less than a Bachelors,3.0,33600.0,18-24 years old
1051,France,Master’s degree,7.0,39456.0,25-34 years old
1053,Israel,Master’s degree,8.0,175116.0,25-34 years old
1055,Poland,Less than a Bachelors,13.0,33408.0,25-34 years old
1057,USA,Bachelor’s degree,8.0,110000.0,25-34 years old
1068,USA,Master’s degree,5.0,200000.0,25-34 years old
1070,USA,Less than a Bachelors,4.0,144000.0,25-34 years old
1071,France,Post grad,0.5,24000.0,25-34 years old
1072,Germany,Master’s degree,7.0,91883.0,35-44 years old
1077,USA,Less than a Bachelors,43.0,83000.0,55-64 years old
1080,USA,Bachelor’s degree,3.0,75636.0,25-34 years old
1082,Ruassia,Bachelor’s degree,5.0,16980.0,25-34 years old
1083,USA,Bachelor’s degree,1.0,100000.0,35-44 years old
1085,Ruassia,Less than a Bachelors,30.0,37752.0,45-54 years old
1088,UK,Post grad,15.0,103408.0,35-44 years old
1089,Denmark,Master’s degree,8.0,82848.0,25-34 years old
1091,India,Bachelor’s degree,5.0,13962.0,25-34 years old
1092,Mexico,Bachelor’s degree,3.0,29088.0,25-34 years old
1096,Poland,Bachelor’s degree,4.0,55200.0,18-24 years old
1101,USA,Bachelor’s degree,40.0,200000.0,55-64 years old
1104,France,Post grad,29.0,83236.0,45-54 years old
1112,UK,Bachelor’s degree,9.0,87896.0,25-34 years old
1113,USA,Bachelor’s degree,6.0,80000.0,25-34 years old
1115,Italy,Bachelor’s degree,15.0,38916.0,35-44 years old
1116,Germany,Master’s degree,15.0,175119.0,35-44 years old
1118,UK,Master’s degree,30.0,193889.0,55-64 years old
1121,Finland,Less than a Bachelors,4.0,27240.0,18-24 years old
1124,Ukraine,Less than a Bachelors,5.0,36000.0,18-24 years old
1125,USA,Master’s degree,4.0,166000.0,25-34 years old
1126,France,Master’s degree,13.0,64859.0,35-44 years old
1129,UK,Less than a Bachelors,20.0,89189.0,35-44 years old
1132,Germany,Bachelor’s degree,5.0,51887.0,25-34 years old
1134,Ukraine,Master’s degree,11.0,39144.0,35-44 years old
1136,Canada,Bachelor’s degree,16.0,52942.0,35-44 years old
1138,USA,Bachelor’s degree,21.0,90000.0,35-44 years old
1139,UK,Bachelor’s degree,12.0,82726.0,35-44 years old
1141,Switzerland,Less than a Bachelors,6.0,80008.0,25-34 years old
1142,USA,Bachelor’s degree,1.0,65000.0,25-34 years old
1151,Italy,Post grad,38.0,51888.0,55-64 years old
